yes,TREASURY_ER_TR,MLTAU25E,20170630,20170707,20180701,pickle,all:10,
yes,TREASURY_ER_TR,MLTAUS2D,20170704,20170711,20180701,pickle,all:10,
yes,TREASURY_ER_TR,MLTAUS2E,20170704,20170711,20180701,pickle,all:10,
yes,TREASURY_ER_TR,MLTAUS5D,20170630,20170707,20180701,pickle,all:10,
yes,TREASURY_ER_TR,MLTAUS5E,20170630,20170707,20180701,pickle,all:10,
no,high_yield_bond_rotator,MLTABFRU,20170630,20170707,20180701,pickle,all:10,
no,market_beta_aus,UISEMCLE,20171208,20171215,20180701,pickle,all:10,
no,market_beta_aus,UISEMDLE,20171208,20171215,20180701,pickle,all:10,
no,market_beta_aus,UISEMFLE,20171208,20171215,20180701,pickle,all:10,
no,market_beta_aus,UISEMHLE,20171208,20171215,20180701,pickle,all:10,
no,market_beta_aus,UISEMILE,20171208,20171215,20180701,pickle,all:10,
no,market_beta_aus,UISEMJLE,20171208,20171215,20180701,pickle,all:10,
no,market_beta_aus,UISEMLLE,20171208,20171215,20180701,pickle,all:10,
no,market_beta_aus,UISEMNLE,20171208,20171215,20180701,pickle,all:10,
no,market_beta_aus,UISEMPLE,20171208,20171215,20180701,pickle,all:10,
no,market_beta_aus,UISEMSLE,20171208,20171215,20180701,pickle,all:10,
no,market_beta_aus,UISEMTLE,20171208,20171215,20180701,pickle,all:10,
no,market_beta_aus,UISEMULE,20171208,20171215,20180701,pickle,all:10,
no,market_beta_aus,UISEMVLE,20171208,20171215,20180701,pickle,all:10,
no,market_beta_aus,UISRMC1E,20171208,20171215,20180701,pickle,all:10,
no,market_beta_aus,UISRMD1E,20171208,20171215,20180701,pickle,all:10,
no,market_beta_aus,UISRME3E,20171208,20171215,20180701,pickle,all:10,
no,market_beta_aus,UISRMJ1E,20171208,20171215,20180701,pickle,all:10,
no,market_beta_aus,UISRMJ3E,20171208,20171215,20180701,pickle,all:10,
no,market_beta_aus,UISRML1E,20171208,20171215,20180701,pickle,all:10,
no,market_beta_aus,UISRMT1E,20171208,20171215,20180701,pickle,all:10,
no,market_beta_aus,UISRMU3E,20171208,20171215,20180701,pickle,all:10,
yes,seraf,MLTASWXJ,20170906,20170913,20180701,pickle,all:10,
